elapsed_ms,yaw,roll,pitch
346897,0.679848552,-0.0499237217,-0.138247535
346996,0.679725468,-0.0493813343,-0.139801547
347096,0.681547105,-0.0449361764,-0.142080337
347197,0.679468572,-0.0496033952,-0.139800712
347297,0.680188179,-0.0490353629,-0.139060125
347397,0.67950654,-0.0496836416,-0.139245644
347497,0.680568159,-0.0473826826,-0.140775144
347597,0.679777741,-0.0498155877,-0.138925612
347698,0.680641532,-0.0476738885,-0.138625681
347799,0.679957926,-0.0487093367,-0.14001444
347898,0.680217445,-0.0480885543,-0.139837369
347999,0.68071568,-0.0483897552,-0.138321668
348099,0.679673195,-0.0506532118,-0.137073964
348199,0.68101573,-0.0472856313,-0.138973042
348300,0.679581285,-0.0508000702,-0.137596771
348400,0.680563927,-0.048475571,-0.138464794
348500,0.679837108,-0.0498621128,-0.137918338
348600,0.680250406,-0.0484926589,-0.138832033
348700,0.680481195,-0.0478224903,-0.140064567
348800,0.680343986,-0.0481956452,-0.139270917
348901,0.680495143,-0.0489212573,-0.137015551
349000,0.68090719,-0.0481197797,-0.137080267
349102,0.68032366,-0.0487038866,-0.138447851
349201,0.680974841,-0.0462280922,-0.141388267
349302,0.68032372,-0.0486806594,-0.139927655
349402,0.681271076,-0.0475614481,-0.138131529
349502,0.680099726,-0.0505063049,-0.136677772
349602,0.680782914,-0.0471605882,-0.140792221
349703,0.680223763,-0.0486693792,-0.139513254
349803,0.681273878,-0.0463845953,-0.140621006
349903,0.68024087,-0.049823571,-0.139012977
350003,0.681477904,-0.0471170023,-0.139085948
350103,0.680416822,-0.0497031771,-0.137843862
350204,0.681244373,-0.0471194834,-0.139640108
350304,0.680429578,-0.0490890816,-0.137982741
350404,0.681047201,-0.0481642671,-0.13898778
350504,0.68078649,-0.048431322,-0.138948366
350604,0.680865347,-0.0480455495,-0.138944641
350705,0.680974603,-0.0478526689,-0.139039695
350805,0.680190086,-0.0497294851,-0.138783112
350905,0.681566656,-0.0466835722,-0.138738245
351005,0.680516839,-0.0493968315,-0.138025448
351106,0.681406856,-0.046951659,-0.138910577
351206,0.68012774,-0.049642846,-0.138200864
351306,0.68156153,-0.0464220829,-0.139643535
351407,0.680493355,-0.0491395108,-0.137703657
351506,0.68126601,-0.047621008,-0.138838321
351606,0.681447387,-0.0470293276,-0.138512731
351707,0.680361569,-0.049750153,-0.138133511
351807,0.680938363,-0.0480359793,-0.139162257
351908,0.680839419,-0.0482034236,-0.140096411
352008,0.681107998,-0.047155112,-0.139609694
352109,0.680474043,-0.0490726233,-0.138083488
352208,0.68071115,-0.0489523374,-0.138430521
352309,0.680881262,-0.0481525026,-0.138912663
352409,0.680652738,-0.0490468144,-0.138207689
352509,0.680850387,-0.0481937975,-0.138764128
352610,0.680883765,-0.048394274,-0.139159769
352710,0.680761099,-0.0491961613,-0.137377217
352810,0.68090713,-0.0478615612,-0.139270023
352910,0.680763066,-0.0487588309,-0.138006106
353010,0.680794299,-0.0488188975,-0.138121471
353111,0.680683672,-0.0491618216,-0.137248099
353211,0.680905104,-0.0482934937,-0.138374791
353311,0.680150688,-0.0502968356,-0.137404785
353411,0.681043148,-0.0475653149,-0.13985832
353511,0.680122495,-0.0490174592,-0.140005425
353612,0.680998325,-0.0480474755,-0.138860226
353712,0.680790186,-0.0478263423,-0.140100464
353813,0.680863142,-0.0481796041,-0.139172316
353912,0.680274427,-0.049998723,-0.138401628
354012,0.681204021,-0.0475470498,-0.139755785
354113,0.680099487,-0.0496712364,-0.13909398
354213,0.680552363,-0.0489082262,-0.139320418
354313,0.681047678,-0.0479759984,-0.139096901
354413,0.680060625,-0.0494209826,-0.139605716
354514,0.680612564,-0.0486168154,-0.139208019
354614,0.680082917,-0.0498601608,-0.139130428
354715,0.681467891,-0.0464862585,-0.140084311
354814,0.680268705,-0.0503356792,-0.137726501
354915,0.68073535,-0.0480057821,-0.140668035
355015,0.680235386,-0.0498208851,-0.138597265
355115,0.680295825,-0.049049899,-0.140131354
355216,0.680598974,-0.048338417,-0.13974227
355316,0.680619717,-0.0488830358,-0.139011353
355417,0.680672884,-0.0489380024,-0.13900286
355516,0.68036598,-0.0492200404,-0.139245003
355617,0.680323839,-0.0493140779,-0.139390588
355717,0.680483341,-0.0493540578,-0.13990508
355817,0.680431545,-0.049469538,-0.140265971
355917,0.68031776,-0.049498152,-0.139740676
356018,0.680252552,-0.0497377813,-0.139951199
356118,0.680240929,-0.0494306125,-0.140028596
356218,0.680251479,-0.0498082004,-0.139951736
356319,0.680196404,-0.0498748086,-0.140162781
356419,0.680258393,-0.0498278998,-0.14023973
356519,0.680270851,-0.0498864129,-0.140054375
356620,0.680176258,-0.0500598364,-0.140175164
356720,0.680233836,-0.0499732159,-0.140146762
356820,0.680229068,-0.050040938,-0.140288472
356920,0.680211365,-0.04987913,-0.140218154
357021,0.680235863,-0.0500659533,-0.13999486
357121,0.68017453,-0.0500928275,-0.140275195
357221,0.68018508,-0.0501099974,-0.140173227
357321,0.680176139,-0.0501336865,-0.140341803
357422,0.680164397,-0.0501531549,-0.140265673
357521,0.680158138,-0.0501276962,-0.140445292
357621,0.68008554,-0.050105352,-0.1401079
357722,0.680175245,-0.0501517244,-0.140183702
357822,0.680236578,-0.0496938527,-0.140686855
357922,0.680184662,-0.0494610518,-0.140860692
358023,0.680310011,-0.0497505888,-0.140217081
358123,0.680207133,-0.0497454219,-0.140507564
358223,0.680281341,-0.0496888049,-0.140467823
358323,0.680240154,-0.0497061498,-0.140254796
358424,0.680377185,-0.0496399067,-0.14013724
358524,0.680230081,-0.0496566929,-0.140193313
358623,0.680315375,-0.0496322587,-0.140168697
358724,0.680241942,-0.0496264696,-0.140346989
358824,0.680327952,-0.0496112183,-0.140349954
358924,0.680200696,-0.049563244,-0.140433058
359024,0.680212557,-0.0496483371,-0.140413284
359125,0.680342376,-0.0496284999,-0.140081301
359225,0.680317879,-0.0495398901,-0.140551612
359325,0.680314541,-0.0496398248,-0.140317366
359425,0.680340648,-0.0496415682,-0.140383318
359526,0.680271804,-0.0496241637,-0.140174732
359626,0.680257976,-0.0495637469,-0.140392706
359725,0.6803298,-0.0495754778,-0.140384078
359826,0.680325389,-0.0495791584,-0.140603781
359927,0.68029505,-0.0494821407,-0.140618294
360027,0.680297136,-0.0494936518,-0.140336499
360127,0.680300534,-0.0494061783,-0.140522912
360227,0.680356622,-0.0493652821,-0.140305385
360327,0.680337787,-0.0494534075,-0.140266299
360427,0.680337071,-0.0494640954,-0.140390635
360527,0.680261075,-0.0495056175,-0.140278652
360628,0.680319071,-0.0495268106,-0.140394226
360728,0.680192471,-0.0495602079,-0.140120894
360829,0.680327237,-0.0495185629,-0.140166447
360928,0.680243015,-0.0495207496,-0.14031592
361029,0.680308342,-0.0495219566,-0.14005594
361130,0.680297852,-0.0494697765,-0.140322074
361230,0.680283666,-0.0493849665,-0.140652075
361330,0.680221081,-0.0493757986,-0.140460506
361430,0.680291295,-0.0493703149,-0.140456304
361530,0.680321515,-0.0494086035,-0.14075017
361631,0.680263996,-0.0493674092,-0.14049466
361731,0.680325389,-0.0494779684,-0.140504196
361831,0.680320323,-0.049364835,-0.140263379
361931,0.680259466,-0.0492912866,-0.140488729
362032,0.680288494,-0.0493525006,-0.140489683
362131,0.680321693,-0.0491834879,-0.140532508
362232,0.680342913,-0.0493562035,-0.140482038
362333,0.680330455,-0.0493360832,-0.140468165
362432,0.68027389,-0.0493627153,-0.140343755
362532,0.680217683,-0.0493053459,-0.140802577
362633,0.680296302,-0.0493925437,-0.140721291
362733,0.680289745,-0.0493731312,-0.140619338
362834,0.680345654,-0.0493534617,-0.140526384
362933,0.680367291,-0.0493486337,-0.140383229
363034,0.680375457,-0.0494031012,-0.140604943
363135,0.680315018,-0.0493412651,-0.140311137
363234,0.680393696,-0.0492929295,-0.140385643
363335,0.680352926,-0.0492857322,-0.140363321
363435,0.680418253,-0.0490978397,-0.140508428
363536,0.680494964,-0.0489040129,-0.140450373
363635,0.680464983,-0.0489713214,-0.140727431
363736,0.680337429,-0.048955977,-0.140623435
363836,0.680431604,-0.0489955433,-0.140507355
363937,0.680438936,-0.0489755981,-0.14032352
364037,0.680508852,-0.0489338413,-0.140222549
364137,0.680533588,-0.0488942489,-0.140371084
364237,0.680460751,-0.048926875,-0.140347689
364337,0.680496037,-0.048855558,-0.140394941
364438,0.680493116,-0.0489059091,-0.140359208
364538,0.680486917,-0.0490257218,-0.14024815
364638,0.680384398,-0.0488578528,-0.140294135
364738,0.680480361,-0.0489736609,-0.140346557
364839,0.680422664,-0.0488370359,-0.140555888
364939,0.680390835,-0.0490342416,-0.140382335
365040,0.680419207,-0.0488551855,-0.140361577
365140,0.680430233,-0.0489343256,-0.14028421
365240,0.680458069,-0.0489971302,-0.140439674
365340,0.680423796,-0.0489628762,-0.140022099
365441,0.680345953,-0.0490845256,-0.139892951
365540,0.680446982,-0.0489958748,-0.140440881
365641,0.680336952,-0.0491316766,-0.140184924
365741,0.680468321,-0.0488916114,-0.140208542
365841,0.680410266,-0.0490176715,-0.140447974
365941,0.680482388,-0.048967097,-0.140450373
366041,0.68048799,-0.0489567704,-0.140478343
366142,0.680495381,-0.0489740781,-0.140407249
366243,0.680446863,-0.048998598,-0.140491351
366342,0.680410802,-0.0487782955,-0.140258625
366442,0.680425048,-0.0486634225,-0.14019838
366543,0.680521607,-0.0488881655,-0.140088066
366642,0.680522442,-0.0488156639,-0.140194327
366743,0.680462241,-0.0488141216,-0.14020586
366843,0.680513024,-0.0486900322,-0.140101701
366944,0.680540442,-0.0487758666,-0.140310347
367044,0.680546999,-0.0489464253,-0.139919609
367144,0.680549443,-0.0488319881,-0.140187308
367244,0.680543661,-0.0488327891,-0.140253887
367344,0.680557609,-0.0488511771,-0.140330851
367445,0.680556893,-0.0487376489,-0.140387997
367545,0.680561066,-0.0488405824,-0.140152499
367645,0.68049711,-0.0488664433,-0.140407503
